ClipId,EpId,rel_path,duration_samples,duration_seconds,match_strategy,label_block,label_prolong,label_soundrep,label_wordrep,label_interjection,label_no_stutter
26,0,data/SEP28K/clips/stuttering-clips/clips/MyStutteringLife_4_26.wav,48000.0,3.0,suffix_underscore,0,0,0,0,0,3
27,0,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_55_27.wav,48000.0,3.0,suffix_underscore,1,0,3,1,1,0
29,0,data/SEP28K/clips/stuttering-clips/clips/StutteringIsCool_0_29.wav,48000.0,3.0,suffix_underscore,0,0,0,0,0,3
30,0,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_45_30.wav,48000.0,3.0,suffix_underscore,0,0,0,0,0,3
32,0,data/SEP28K/clips/stuttering-clips/clips/StutteringIsCool_29_32.wav,48000.0,3.0,suffix_underscore,0,0,0,0,0,3
34,0,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_089_34.wav,48000.0,3.0,suffix_underscore,0,0,0,0,0,3
36,0,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_32_36.wav,48000.0,3.0,suffix_underscore,0,0,0,0,0,3
37,0,data/SEP28K/clips/stuttering-clips/clips/MyStutteringLife_29_37.wav,48000.0,3.0,suffix_underscore,0,1,0,0,1,2
38,0,data/SEP28K/clips/stuttering-clips/clips/StrongVoices_15_38.wav,48000.0,3.0,suffix_underscore,0,1,0,0,0,2
39,0,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_76_39.wav,48000.0,3.0,suffix_underscore,1,0,0,0,0,2
1,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_5_1.wav,48000.0,3.0,suffix_underscore,0,0,0,1,1,2
4,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_80_4.wav,48000.0,3.0,suffix_underscore,0,0,0,0,0,3
6,1,data/SEP28K/clips/stuttering-clips/clips/MyStutteringLife_16_6.wav,48000.0,3.0,suffix_underscore,0,0,0,1,0,2
9,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_64_9.wav,48000.0,3.0,suffix_underscore,1,0,0,0,0,2
11,1,data/SEP28K/clips/stuttering-clips/clips/StutteringIsCool_74_11.wav,48000.0,3.0,suffix_underscore,0,2,1,0,0,0
12,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_063_12.wav,48000.0,3.0,suffix_underscore,0,0,2,0,0,1
13,1,data/SEP28K/clips/stuttering-clips/clips/MyStutteringLife_1_13.wav,48000.0,3.0,suffix_underscore,1,0,0,1,0,1
14,1,data/SEP28K/clips/stuttering-clips/clips/StutteringIsCool_81_14.wav,48000.0,3.0,suffix_underscore,0,3,0,0,3,0
15,1,data/SEP28K/clips/stuttering-clips/clips/MyStutteringLife_39_15.wav,48000.0,3.0,suffix_underscore,0,3,1,0,1,0
16,1,data/SEP28K/clips/stuttering-clips/clips/StutteringIsCool_35_16.wav,48000.0,3.0,suffix_underscore,1,0,0,0,0,2
17,1,data/SEP28K/clips/stuttering-clips/clips/StutteringIsCool_15_17.wav,48000.0,3.0,suffix_underscore,2,0,1,0,0,0
18,1,data/SEP28K/clips/stuttering-clips/clips/MyStutteringLife_2_18.wav,48000.0,3.0,suffix_underscore,1,1,1,0,0,1
19,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_099_19.wav,48000.0,3.0,suffix_underscore,0,0,0,0,0,3
20,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_32_20.wav,48000.0,3.0,suffix_underscore,0,0,1,3,1,0
21,1,data/SEP28K/clips/stuttering-clips/clips/MyStutteringLife_34_21.wav,48000.0,3.0,suffix_underscore,0,0,1,0,0,1
22,1,data/SEP28K/clips/stuttering-clips/clips/StutteringIsCool_39_22.wav,48000.0,3.0,suffix_underscore,1,1,0,0,0,2
23,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_098_23.wav,48000.0,3.0,suffix_underscore,0,1,0,0,0,2
24,1,data/SEP28K/clips/stuttering-clips/clips/StutteringIsCool_34_24.wav,48000.0,3.0,suffix_underscore,1,0,0,1,3,1
25,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_34_25.wav,48000.0,3.0,suffix_underscore,0,1,0,0,0,1
26,1,data/SEP28K/clips/stuttering-clips/clips/MyStutteringLife_4_26.wav,48000.0,3.0,suffix_underscore,1,0,0,0,2,2
27,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_55_27.wav,48000.0,3.0,suffix_underscore,1,3,0,0,0,0
28,1,data/SEP28K/clips/stuttering-clips/clips/StrongVoices_26_28.wav,48000.0,3.0,suffix_underscore,0,1,0,1,2,2
30,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_45_30.wav,48000.0,3.0,suffix_underscore,1,0,0,0,0,2
31,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_19_31.wav,48000.0,3.0,suffix_underscore,1,1,0,0,0,1
32,1,data/SEP28K/clips/stuttering-clips/clips/StutteringIsCool_29_32.wav,48000.0,3.0,suffix_underscore,0,3,0,0,3,0
33,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_28_33.wav,48000.0,3.0,suffix_underscore,1,0,3,0,0,0
34,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_089_34.wav,48000.0,3.0,suffix_underscore,0,0,1,1,1,1
35,1,data/SEP28K/clips/stuttering-clips/clips/StutteringIsCool_65_35.wav,48000.0,3.0,suffix_underscore,1,1,2,0,0,0
36,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_32_36.wav,48000.0,3.0,suffix_underscore,1,0,0,0,3,2
37,1,data/SEP28K/clips/stuttering-clips/clips/MyStutteringLife_29_37.wav,48000.0,3.0,suffix_underscore,2,0,3,0,1,0
40,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_23_40.wav,48000.0,3.0,suffix_underscore,1,2,0,0,0,0
43,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_1_43.wav,48000.0,3.0,suffix_underscore,1,0,0,0,3,2
45,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_071_45.wav,48000.0,3.0,suffix_underscore,0,1,2,0,0,0
46,1,data/SEP28K/clips/stuttering-clips/clips/MyStutteringLife_32_46.wav,48000.0,3.0,suffix_underscore,2,0,2,0,0,1
47,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_179_47.wav,48000.0,3.0,suffix_underscore,1,0,0,0,1,2
49,1,data/SEP28K/clips/stuttering-clips/clips/HVSA_0_49.wav,48000.0,3.0,suffix_underscore,2,0,2,0,0,0
50,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_118_50.wav,48000.0,3.0,suffix_underscore,1,0,2,0,1,1
51,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_21_51.wav,48000.0,3.0,suffix_underscore,1,0,0,3,0,0
52,1,data/SEP28K/clips/stuttering-clips/clips/MyStutteringLife_35_52.wav,48000.0,3.0,suffix_underscore,0,0,0,0,0,3
53,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_016_53.wav,48000.0,3.0,suffix_underscore,2,2,0,0,0,0
56,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_30_56.wav,48000.0,3.0,suffix_underscore,0,0,2,0,0,1
57,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_64_57.wav,48000.0,3.0,suffix_underscore,0,1,2,0,0,1
58,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_42_58.wav,48000.0,3.0,suffix_underscore,0,0,0,1,0,2
59,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_063_59.wav,48000.0,3.0,suffix_underscore,0,1,0,0,2,2
60,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_178_60.wav,48000.0,3.0,suffix_underscore,1,1,2,0,0,0
61,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_099_61.wav,48000.0,3.0,suffix_underscore,1,0,3,0,2,0
62,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_0_62.wav,48000.0,3.0,suffix_underscore,3,0,1,1,0,0
65,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_0_65.wav,48000.0,3.0,suffix_underscore,2,0,1,3,0,0
66,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_016_66.wav,48000.0,3.0,suffix_underscore,0,1,0,0,0,2
68,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_985_68.wav,48000.0,3.0,suffix_underscore,1,0,0,0,0,2
71,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_74_71.wav,48000.0,3.0,suffix_underscore,0,0,0,3,0,0
72,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_6_72.wav,48000.0,3.0,suffix_underscore,2,3,0,0,0,0
73,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_62_73.wav,48000.0,3.0,suffix_underscore,1,0,0,1,0,1
74,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_2_74.wav,48000.0,3.0,suffix_underscore,2,1,1,0,1,0
76,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_26_76.wav,48000.0,3.0,suffix_underscore,1,0,0,0,3,2
77,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_97_77.wav,48000.0,3.0,suffix_underscore,2,0,1,0,0,0
78,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_72_78.wav,48000.0,3.0,suffix_underscore,1,0,0,0,0,2
79,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_010_79.wav,48000.0,3.0,suffix_underscore,1,0,0,0,1,2
82,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_87_82.wav,48000.0,3.0,suffix_underscore,2,2,2,0,0,0
83,1,data/SEP28K/clips/stuttering-clips/clips/MyStutteringLife_23_83.wav,48000.0,3.0,suffix_underscore,0,1,0,0,0,2
84,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_024_84.wav,48000.0,3.0,suffix_underscore,1,0,0,0,0,1
85,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_12_85.wav,48000.0,3.0,suffix_underscore,0,0,0,3,1,0
87,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_30_87.wav,48000.0,3.0,suffix_underscore,2,0,0,0,0,1
88,1,data/SEP28K/clips/stuttering-clips/clips/IStutterSoWhat_3_88.wav,48000.0,3.0,suffix_underscore,0,0,2,0,1,1
89,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_21_89.wav,48000.0,3.0,suffix_underscore,0,1,0,0,0,2
91,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_103_91.wav,48000.0,3.0,suffix_underscore,0,2,1,0,0,0
92,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_096_92.wav,48000.0,3.0,suffix_underscore,1,0,1,0,0,1
95,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_101_95.wav,48000.0,3.0,suffix_underscore,0,0,0,0,0,3
96,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_43_96.wav,48000.0,3.0,suffix_underscore,1,0,2,0,0,0
98,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_20_98.wav,48000.0,3.0,suffix_underscore,0,0,0,3,0,0
100,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_97_100.wav,48000.0,3.0,suffix_underscore,0,0,2,2,0,0
101,1,data/SEP28K/clips/stuttering-clips/clips/HVSA_3_101.wav,48000.0,3.0,suffix_underscore,1,2,0,0,1,0
104,1,data/SEP28K/clips/stuttering-clips/clips/MyStutteringLife_7_104.wav,48000.0,3.0,suffix_underscore,0,0,0,3,1,0
105,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_14_105.wav,48000.0,3.0,suffix_underscore,0,0,2,0,0,1
106,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_21_106.wav,48000.0,3.0,suffix_underscore,3,0,0,0,0,0
111,1,data/SEP28K/clips/stuttering-clips/clips/MyStutteringLife_35_111.wav,48000.0,3.0,suffix_underscore,0,0,0,1,2,2
112,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_230_112.wav,48000.0,3.0,suffix_underscore,1,3,0,0,0,0
113,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_74_113.wav,48000.0,3.0,suffix_underscore,1,0,0,0,0,2
114,1,data/SEP28K/clips/stuttering-clips/clips/StrongVoices_21_114.wav,48000.0,3.0,suffix_underscore,0,0,1,0,0,2
115,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_046_115.wav,48000.0,3.0,suffix_underscore,0,0,1,2,0,0
116,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_39_116.wav,48000.0,3.0,suffix_underscore,1,2,2,0,0,0
117,1,data/SEP28K/clips/stuttering-clips/clips/StrongVoices_32_117.wav,48000.0,3.0,suffix_underscore,1,0,0,0,0,2
121,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_046_121.wav,48000.0,3.0,suffix_underscore,0,0,0,0,3,3
123,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_39_123.wav,48000.0,3.0,suffix_underscore,1,1,0,0,0,2
125,1,data/SEP28K/clips/stuttering-clips/clips/IStutterSoWhat_3_125.wav,48000.0,3.0,suffix_underscore,2,0,2,0,0,0
126,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_16_126.wav,48000.0,3.0,suffix_underscore,0,0,0,0,1,3
127,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_178_127.wav,48000.0,3.0,suffix_underscore,0,0,3,1,0,0
129,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_88_129.wav,48000.0,3.0,suffix_underscore,2,2,2,0,0,0
131,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_88_131.wav,48000.0,3.0,suffix_underscore,0,0,0,0,0,3
132,1,data/SEP28K/clips/stuttering-clips/clips/MyStutteringLife_30_132.wav,48000.0,3.0,suffix_underscore,2,0,0,0,0,1
133,1,data/SEP28K/clips/stuttering-clips/clips/HVSA_3_133.wav,48000.0,3.0,suffix_underscore,3,1,0,1,2,0
134,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_72_134.wav,48000.0,3.0,suffix_underscore,1,1,0,0,0,2
136,1,data/SEP28K/clips/stuttering-clips/clips/IStutterSoWhat_1_136.wav,48000.0,3.0,suffix_underscore,2,0,0,0,0,2
137,1,data/SEP28K/clips/stuttering-clips/clips/HVSA_1_137.wav,48000.0,3.0,suffix_underscore,1,2,2,0,0,0
138,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_26_138.wav,48000.0,3.0,suffix_underscore,1,1,0,0,0,1
139,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_6_139.wav,48000.0,3.0,suffix_underscore,1,0,0,0,0,2
140,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_81_140.wav,48000.0,3.0,suffix_underscore,0,2,0,0,0,2
141,1,data/SEP28K/clips/stuttering-clips/clips/MyStutteringLife_7_141.wav,48000.0,3.0,suffix_underscore,1,0,0,0,0,2
144,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_063_144.wav,48000.0,3.0,suffix_underscore,0,3,0,0,0,0
145,1,data/SEP28K/clips/stuttering-clips/clips/HVSA_2_145.wav,48000.0,3.0,suffix_underscore,1,1,0,0,0,1
147,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_21_147.wav,48000.0,3.0,suffix_underscore,2,0,2,0,0,1
148,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_6_148.wav,48000.0,3.0,suffix_underscore,0,3,0,0,0,0
149,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_25_149.wav,48000.0,3.0,suffix_underscore,0,1,0,0,0,2
150,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_37_150.wav,48000.0,3.0,suffix_underscore,2,0,0,0,0,1
153,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_25_153.wav,48000.0,3.0,suffix_underscore,0,0,1,0,0,2
154,1,data/SEP28K/clips/stuttering-clips/clips/HVSA_1_154.wav,48000.0,3.0,suffix_underscore,1,1,1,0,0,1
155,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_14_155.wav,48000.0,3.0,suffix_underscore,0,0,3,0,0,0
156,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_81_156.wav,48000.0,3.0,suffix_underscore,1,1,1,0,0,0
158,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_99_158.wav,48000.0,3.0,suffix_underscore,0,0,2,2,0,0
159,1,data/SEP28K/clips/stuttering-clips/clips/IStutterSoWhat_2_159.wav,48000.0,3.0,suffix_underscore,2,2,1,0,0,0
160,1,data/SEP28K/clips/stuttering-clips/clips/IStutterSoWhat_2_160.wav,48000.0,3.0,suffix_underscore,2,2,1,0,1,1
161,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_14_161.wav,48000.0,3.0,suffix_underscore,0,3,2,0,0,0
162,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_024_162.wav,48000.0,3.0,suffix_underscore,1,0,0,0,0,2
163,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_64_163.wav,48000.0,3.0,suffix_underscore,0,1,2,0,0,0
164,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_21_164.wav,48000.0,3.0,suffix_underscore,2,1,1,0,1,0
165,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_33_165.wav,48000.0,3.0,suffix_underscore,0,1,0,0,0,2
166,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_099_166.wav,48000.0,3.0,suffix_underscore,1,0,1,0,0,2
167,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_87_167.wav,48000.0,3.0,suffix_underscore,1,0,2,0,0,0
168,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_19_168.wav,48000.0,3.0,suffix_underscore,0,2,0,0,2,1
169,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_6_169.wav,48000.0,3.0,suffix_underscore,2,2,1,0,0,0
170,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_12_170.wav,48000.0,3.0,suffix_underscore,3,2,1,0,0,0
171,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_88_171.wav,48000.0,3.0,suffix_underscore,1,0,0,0,0,2
173,1,data/SEP28K/clips/stuttering-clips/clips/FluencyBank_985_173.wav,48000.0,3.0,suffix_underscore,1,1,0,0,0,1
174,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_81_174.wav,48000.0,3.0,suffix_underscore,0,1,0,0,0,2
175,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_6_175.wav,48000.0,3.0,suffix_underscore,0,1,0,3,0,0
178,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_21_178.wav,48000.0,3.0,suffix_underscore,0,0,0,0,3,3
179,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_64_179.wav,48000.0,3.0,suffix_underscore,2,0,0,0,1,1
180,1,data/SEP28K/clips/stuttering-clips/clips/HVSA_3_180.wav,48000.0,3.0,suffix_underscore,0,2,0,0,1,1
181,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_22_181.wav,48000.0,3.0,suffix_underscore,0,0,2,0,0,1
182,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_96_182.wav,48000.0,3.0,suffix_underscore,1,2,0,0,0,1
186,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_14_186.wav,48000.0,3.0,suffix_underscore,1,0,2,0,0,0
188,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_1_188.wav,48000.0,3.0,suffix_underscore,0,3,0,0,1,0
189,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_14_189.wav,48000.0,3.0,suffix_underscore,2,0,0,0,0,1
191,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_87_191.wav,48000.0,3.0,suffix_underscore,0,2,0,0,0,1
192,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_2_192.wav,48000.0,3.0,suffix_underscore,0,0,0,0,0,3
194,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_6_194.wav,48000.0,3.0,suffix_underscore,0,2,1,3,0,0
195,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_6_195.wav,48000.0,3.0,suffix_underscore,0,0,0,0,0,3
196,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_2_196.wav,48000.0,3.0,suffix_underscore,1,1,0,0,0,1
197,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_62_197.wav,48000.0,3.0,suffix_underscore,1,0,1,0,0,2
198,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_18_198.wav,48000.0,3.0,suffix_underscore,0,0,0,0,1,3
199,1,data/SEP28K/clips/stuttering-clips/clips/StrongVoices_23_199.wav,48000.0,3.0,suffix_underscore,0,0,0,0,2,3
201,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_57_201.wav,48000.0,3.0,suffix_underscore,2,0,1,0,0,0
202,1,data/SEP28K/clips/stuttering-clips/clips/HVSA_3_202.wav,48000.0,3.0,suffix_underscore,0,2,2,0,0,1
203,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_88_203.wav,48000.0,3.0,suffix_underscore,0,0,0,0,0,2
204,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_99_204.wav,48000.0,3.0,suffix_underscore,0,2,1,0,0,0
205,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_101_205.wav,48000.0,3.0,suffix_underscore,0,0,0,3,0,0
206,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_12_206.wav,48000.0,3.0,suffix_underscore,2,0,0,0,1,1
207,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_99_207.wav,48000.0,3.0,suffix_underscore,0,0,1,2,1,0
208,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_12_208.wav,48000.0,3.0,suffix_underscore,0,1,0,0,0,2
209,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_42_209.wav,48000.0,3.0,suffix_underscore,2,0,3,0,0,0
211,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_101_211.wav,48000.0,3.0,suffix_underscore,0,3,1,0,0,0
212,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_62_212.wav,48000.0,3.0,suffix_underscore,2,0,1,0,0,1
213,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_12_213.wav,48000.0,3.0,suffix_underscore,0,1,0,0,0,2
214,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_21_214.wav,48000.0,3.0,suffix_underscore,1,0,1,0,0,0
215,1,data/SEP28K/clips/stuttering-clips/clips/StutterTalk_6_215.wav,48000.0,3.0,suffix_underscore,1,0,0,0,3,2
216,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_21_216.wav,48000.0,3.0,suffix_underscore,0,0,0,0,2,3
217,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_50_217.wav,48000.0,3.0,suffix_underscore,2,1,0,0,0,0
218,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_1_218.wav,48000.0,3.0,suffix_underscore,0,1,0,0,0,2
219,1,data/SEP28K/clips/stuttering-clips/clips/StrongVoices_10_219.wav,48000.0,3.0,suffix_underscore,1,1,0,0,0,1
220,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_50_220.wav,48000.0,3.0,suffix_underscore,0,0,0,2,1,1
221,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_39_221.wav,48000.0,3.0,suffix_underscore,0,1,1,0,0,1
222,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_20_222.wav,48000.0,3.0,suffix_underscore,0,3,1,0,2,0
223,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_6_223.wav,48000.0,3.0,suffix_underscore,1,0,0,0,0,2
224,1,data/SEP28K/clips/stuttering-clips/clips/StrongVoices_23_224.wav,48000.0,3.0,suffix_underscore,0,0,1,1,2,1
225,1,data/SEP28K/clips/stuttering-clips/clips/HeStutters_20_225.wav,48000.0,3.0,suffix_underscore,1,0,1,0,0,1
226,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_39_226.wav,48000.0,3.0,suffix_underscore,1,0,1,0,0,1
227,1,data/SEP28K/clips/stuttering-clips/clips/WomenWhoStutter_50_227.wav,48000.0,3.0,suffix_underscore,0,0,3,0,0,0
228,1,data/SEP28K/clips/stuttering-clips/clips/StrongVoices_23_228.wav,48000.0,3.0,suffix_underscore,0,0,0,0,0,3
230,1,data/SEP28K/clips/stuttering-clips/clips/StrongVoices_23_230.wav,48000.0,3.0,suffix_underscore,1,1,0,0,0,1
